"","x"
"3202","you knew this flight was delayed mht to alb to ewr to get crew your arrival is late flightr than the departure update your site"
"3203","wtf why cant you update your times in a timely manner youve known the fight was more delayed ur service is awful"
"3204","want to book a multicity fare have miles for offlights an option to pay for st flight with miles nd with ump visa thanks"
"3205","waiting on plane so long missed my connecting flight it left early thats the last flight out tonight help"
"3206","ord gate c and fltremember when customers were valuable is it so hard to be nice to someone lugging a guitar amp carryons"
"3207","worst service ever denied access to our flight and then moved flighttimes how hard is it to schedule a gate next time"
"3208","im in denver my bag is in san jose see something wrong here"
"3209","you know its bad when youre praying your connecting flight is delayed because of an hour delay on the first flight"
"3210","playing hide and seek with the gate we cant find it it should only be a few more minutes"
"3211","so our flight into ord was delayed because of air force one but the last flight to sbn is atmins from now we just landed"
"3212","your flights are really cheap whats the catch"
"3213","lgjwb i voluntarily rerouted st leg of journey was in economy and was supposed to be b res agent said shed reserve it for me"
"3214","hrs late flightr and you still cant figure it out random text updates"
"3215","stop picking on us"
"3216","booked flight in sept to get best price for april to usa checked now and they are ‚Ç cheaper what a con unhappy customer"
"3217","too big to properly manage flight times there is such a thing as being on time or at least prepared with a gate when we land"
"3218","id rather have the truth about my flight than be forced to sit here all day trying to get home to this"
"3219","leaving soon thanks"
"3220","another day outbound inbound and now waiting at ewr for a gate to be ready how is it not ready"
"3221","cancelled flighted my mileage plus award reservation same day have yet to see my miles back despite agent confirmation"
"3222","my partner and i booked individual reservations for same flight i have pr silvercan he share my premier privileges somehow"
"3223","gate changes inminutes for flight to roanoke and flight to sous falls in ohare painful"
"3224","this is nuts they said a flight was on the ground now its still in albany and they wont have a planesomeone is compensating me"
"3225","doumented via link however now that it has been over four months with no response what do you suggest or shall i not expect one"
"3226","what yall have zero concept of customer service ohand now my connection is delayed too"
"3227","just curious why youd board a flight without a pilot seems crucial to the flight process no"
"3228","sent dms"
"3229","just changed againthis is crazy"
"3230","never can get a flight out on timehour delay earlier another hour delay on my connecting flight makesstraight delays"
"3231","bc of your delay now you are oversold bypassengers this is a mess what are you going to do to compensate"
"3232","blamed weather lolno wind and not a cloud in the sky delayed both ways x ru kidding me to charge me for lb w delays"
"3233","be worseoh you cant delayed with no reason on the way to lonflight cancelled flighted with no reason less thandays before returning"
